index_MFF start 	 end 	 duration	 mean	 std	 residue	 prompt_rate
101	1858	1879	22	-3.3684	0.068319	0.10268	181290.4091	
102	1880	1887	8	-3.2721	0.028374	0.0064408	181228.125	
103	1888	1958	71	-3.1612	0.04629	0.15214	181156.1831	
104	1959	2011	53	-3.1132	0.061307	0.1992	180043.4151	
105	2012	2013	2	-3.308	0.095535	0.018254	180511	
106	2014	2039	26	-3.157	0.055539	0.080199	180373.9615	
107	2040	2043	4	-3.4811	0.037032	0.0054856	180989.75	
108	2044	2055	12	-3.288	0.065644	0.05171	180526	
109	2056	2057	2	-3.5265	0.044377	0.0039386	179973.5	
110	2058	2063	6	-3.3716	0.057971	0.020164	180030.3333	
111	2064	2090	27	-3.1559	0.058591	0.092689	182023.3704	
112	2091	2092	2	-3.3315	0.074557	0.011117	182343.5	
113	2093	2124	32	-3.2026	0.04465	0.063797	181838.7188	
114	2125	2126	2	-3.9672	0.012586	0.0003168	180398	
115	2127	2127	1	-3.6088	0	0	180018	
116	2128	2145	18	-3.2941	0.056444	0.057346	181141.7778	
117	2146	2148	3	-3.1945	0.040686	0.0049661	181474.6667	
118	2149	2150	2	-3.4607	0.04674	0.0043693	181660.5	
119	2151	2177	27	-3.2891	0.049532	0.066244	181609.8519	
120	2178	2232	55	-3.1956	0.048171	0.12763	181358.1273	
121	2233	2255	23	-3.1461	0.04508	0.046741	181071.4348	
122	2256	2256	1	-2.9395	0	0	181711	
123	2257	2357	101	-3.1799	0.062186	0.39058	181380.3366	
124	2358	2358	1	-3.5286	0	0	182325	
125	2359	2363	5	-3.778	0.047802	0.011425	181477.2	
126	2364	2368	5	-3.4015	0.036674	0.0067249	181487.4	
127	2369	2385	17	-3.3155	0.034833	0.020627	181492.0588	
128	2386	2392	7	-3.1938	0.057556	0.023189	180109	
129	2393	2395	3	-3.3243	0.029142	0.0025477	180299.3333	
130	2396	2517	122	-3.1938	0.060016	0.43943	180503.7213	
131	2518	2518	1	-3.8674	0	0	182078	
132	2519	2521	3	-4.0912	0.050815	0.0077466	180975	
133	2522	2522	1	-3.6699	0	0	180776	
134	2523	2538	16	-3.3205	0.0531	0.045113	180383.75	
135	2539	2601	63	-3.3638	0.054737	0.18876	180069.2222	
136	2602	2606	5	-3.5365	0.058657	0.017203	180094.2	
137	2607	2634	28	-3.364	0.054357	0.082732	179646.6429	
138	2635	2677	43	-3.4133	0.057178	0.14058	179419.9767	
139	2678	2680	3	-3.617	0.035602	0.0038024	178904.6667	
140	2681	2685	5	-3.3218	0.05182	0.013427	180373.6	
141	2686	2689	4	-3.4731	0.046605	0.0086882	178683.5	
142	2690	2716	27	-3.2702	0.047431	0.060743	180850.4815	
143	2717	2775	59	-3.2214	0.067434	0.2683	179768.339	
144	2776	2793	18	-3.3484	0.055464	0.055373	179303.4444	
145	2794	2807	14	-3.1869	0.055073	0.042463	179700.8571	
146	2808	2817	10	-3.2885	0.076603	0.05868	179351.8	
147	2818	2827	10	-3.1501	0.067454	0.0455	178592.9	
148	2828	2831	4	-3.4318	0.11308	0.05115	179206.75	
149	2832	2852	21	-3.2489	0.069082	0.10022	178316.5714	
150	2853	2853	1	-3.5598	0	0	177585	
151	2854	2857	4	-3.3208	0.066887	0.017895	178389.5	
152	2858	2860	3	-3.1168	0.065489	0.012866	178123	
